timestamps(s),penetration_AV,flow(veh/hr),speed(mph)
20.0,0.25,2880.0,68.6199369036
40.0,0.294117647059,3060.0,66.1170309916
60.0,0.294117647059,3060.0,66.4890458348
80.0,0.294117647059,3060.0,66.7647226971
100.0,0.266666666667,2700.0,67.5446441327
120.0,0.277777777778,3240.0,64.5756756547
140.0,0.3125,2880.0,66.7128627721
160.0,0.25,2880.0,67.7372208577
180.0,0.277777777778,3240.0,65.9638802546
200.0,0.235294117647,3060.0,71.4846821544
220.0,0.111111111111,3240.0,67.5603799075
240.0,0.357142857143,2520.0,75.636206867
260.0,0.277777777778,3240.0,69.5865393522
280.0,0.35,3600.0,64.1022997585
300.0,0.235294117647,3060.0,70.1827588258
320.0,0.619047619048,3780.0,72.8922546912
340.0,0.529411764706,3060.0,69.3483996242
360.0,0.555555555556,3240.0,62.5564654878
380.0,0.4375,2880.0,72.6549318061
400.0,0.526315789474,3420.0,67.9194739761
420.0,0.526315789474,3420.0,65.3994165402
440.0,0.625,2880.0,68.8629196022
460.0,0.5,3600.0,66.8940236721
480.0,0.578947368421,3420.0,74.5681783801
500.0,0.52380952381,3780.0,67.9991883004
520.0,0.5,3600.0,70.628467233
540.0,0.588235294118,3060.0,73.7699862137
560.0,0.555555555556,3240.0,63.8860617092
580.0,0.5,3240.0,65.5537659316
600.0,0.611111111111,3240.0,66.4885263741
620.0,0.222222222222,3240.0,67.3220256667
640.0,0.294117647059,3060.0,63.4851875737
660.0,0.3125,2880.0,65.8404206871
680.0,0.294117647059,3060.0,63.9177618124
700.0,0.222222222222,3240.0,61.8611950788
720.0,0.235294117647,3060.0,69.696960929
740.0,0.294117647059,3060.0,69.3166303442
760.0,0.235294117647,3060.0,65.1720587475
780.0,0.3125,2880.0,70.5515767414
800.0,0.3125,2880.0,62.3691755545
820.0,0.235294117647,3060.0,69.2062396136
840.0,0.375,2880.0,67.3398862309
860.0,0.277777777778,3240.0,68.8946475332
880.0,0.277777777778,3240.0,64.9620487084
900.0,0.294117647059,3060.0,63.4498029681
920.0,0.88,4500.0,75.8019866442
940.0,0.96,4500.0,73.2811152014
960.0,0.809523809524,3780.0,69.574455567
980.0,0.961538461538,4680.0,76.7545808351
1000.0,0.961538461538,4680.0,75.7257536997
